,Params,Score
192,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10}",-54617614816.496735
193,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 100}",-10264743377.31225
194,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4851428130.67278
195,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4088643438.663556
196,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10}",-11334558954.533052
197,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 100}",-5283565702.705623
198,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 1000}",-4162086049.7312784
199,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10000}",-4119939472.458902
200,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10}",-6519496532.18104
201,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 100}",-4384528051.572269
202,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 1000}",-4096757035.808818
203,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10000}",-4024310062.4251046
204,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10}",-53358472044.44242
205,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 100}",-9313630600.718357
206,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4695631973.215256
207,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4014711079.9064093
208,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10}",-9723342811.104641
209,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 100}",-5120120269.994059
210,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 1000}",-4049647727.1074247
211,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10000}",-3984457270.973239
212,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10}",-5395870442.574262
213,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 100}",-4332242916.077299
214,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 1000}",-3956866797.888508
215,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10000}",-3839292239.803144
216,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10}",-50464283099.5885
217,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 100}",-8800353566.68845
218,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4463668110.111506
219,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3857961320.481734
220,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10}",-9269192782.738184
221,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 100}",-4963689298.357359
222,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 1000}",-3996387315.1381083
223,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10000}",-3693548435.899488
224,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10}",-5274849160.0658455
225,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 100}",-4321041644.691306
226,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 1000}",-3580235845.6453424
227,"{'batch_size': 1000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10000}",-3324866161.4350877
228,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10}",-45042096960.84381
229,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 100}",-8142404940.536916
230,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4352912069.52298
231,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3669739867.6123824
232,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10}",-8495998489.603455
233,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 100}",-4754260922.350317
234,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 1000}",-3923633128.9927
235,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10000}",-3020485909.7824874
236,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10}",-5192317310.741867
237,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 100}",-4292679157.4803824
238,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 1000}",-3176702300.9457707
239,"{'batch_size': 1000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10000}",-2984329614.9099064
240,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10}",-11862292410.193575
241,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 100}",-5028338489.392325
242,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4042869293.370276
243,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3680926985.265628
244,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10}",-5699754765.948904
245,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 100}",-4319965848.166595
246,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 1000}",-3819764052.99887
247,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10000}",-3301185190.426837
248,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10}",-35404893500.57607
249,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 100}",-25139704489.261093
250,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 1000}",-15808338799.316906
251,"{'batch_size': 1000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10000}",-11506440886.034195
252,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-9219518448.668797
253,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-4751061333.511462
254,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3751753170.369446
255,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-2989032089.641574
256,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-5244706392.83944
257,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-4284531273.2040987
258,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-3256882840.0617533
259,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-2938890984.188773
260,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-45459085478.6741
261,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-51902825625.34817
262,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-23973488251.674698
263,"{'batch_size': 1000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-13348106359.690826
264,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10}",-8374253575.689375
265,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 100}",-4542718147.287555
266,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3298277948.728936
267,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-2863236844.40907
268,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10}",-5183454726.604777
269,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 100}",-4184632229.0417795
270,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 1000}",-2939387036.7435884
271,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10000}",-3012588872.73063
272,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10}",-55916511917.2855
273,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 100}",-36443907395.401306
274,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 1000}",-22078498934.287994
275,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10000}",-11650473445.561071
276,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-6265387247.812666
277,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-4273451284.611342
278,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3019969143.49183
279,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3125750165.484945
280,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-27450462872.887043
281,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-26367033123.496414
282,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-17325008040.31457
283,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-13034106511.252712
284,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-47736122819.737465
285,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-54342843376.632
286,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-29750722827.913208
287,"{'batch_size': 1000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-13346394048.976002
288,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10}",-51607124052.987816
289,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 100}",-8638571845.881454
290,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4531261264.046962
291,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4055746615.9917803
292,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10}",-8895634294.839838
293,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 100}",-4882414848.1666355
294,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 1000}",-4168429957.2424407
295,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10000}",-4166926930.669945
296,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10}",-5154308628.927386
297,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 100}",-4335633960.589435
298,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 1000}",-4449563938.799541
299,"{'batch_size': 500, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10000}",-4017928547.7997284
300,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10}",-39542519977.95453
301,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 100}",-8041885850.589801
302,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4395563032.096089
303,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4003463989.009852
304,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10}",-8164443577.711673
305,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 100}",-4691867017.780263
306,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 1000}",-4020441184.7332506
307,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10000}",-3783247922.059392
308,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10}",-5128325086.389827
309,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 100}",-4246342093.716584
310,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 1000}",-3851861515.415808
311,"{'batch_size': 500, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10000}",-3507040436.4095335
312,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10}",-29675067449.30587
313,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 100}",-7292586292.23065
314,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4297513363.201871
315,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3759696296.4098234
316,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10}",-7481787413.517458
317,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 100}",-4498572375.407561
318,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 1000}",-3787608141.3575068
319,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10000}",-3279539676.817351
320,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10}",-5055581187.945837
321,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 100}",-4203337404.333867
322,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 1000}",-3403219903.5096636
323,"{'batch_size': 500, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10000}",-3130823415.450862
324,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10}",-19807016852.092834
325,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 100}",-5949256610.64043
326,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4201022421.671112
327,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3518750464.162278
328,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10}",-6784688306.763111
329,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 100}",-4420499896.271368
330,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 1000}",-3424872803.9393435
331,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10000}",-3011334847.0265565
332,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10}",-4966619321.21326
333,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 100}",-4177671492.95485
334,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 1000}",-3135046751.801033
335,"{'batch_size': 500, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10000}",-3030989660.766735
336,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10}",-8655202625.036152
337,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 100}",-4547345824.390282
338,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3944702996.1579146
339,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3429389382.59561
340,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10}",-5109027327.860982
341,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 100}",-14319160590.814575
342,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 1000}",-3742291748.725795
343,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10000}",-3233840264.761209
344,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10}",-25093276798.70019
345,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 100}",-30150508878.98993
346,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 1000}",-9862244045.907425
347,"{'batch_size': 500, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10000}",-9908372714.037844
348,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-7272447012.074481
349,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-4382977263.776133
350,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3476063965.508151
351,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-2993685979.856913
352,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-5019314845.061285
353,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-4176221336.652297
354,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-3158916095.510751
355,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-2908173470.240721
356,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-55289437555.71584
357,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-30312153124.581593
358,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-11747044371.519566
359,"{'batch_size': 500, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-11575820954.649649
360,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10}",-6358070347.898256
361,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 100}",-4323421546.348645
362,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3085667571.677291
363,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-2848621744.664357
364,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10}",-4923341986.495662
365,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 100}",-4246555154.343779
366,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 1000}",-3034350066.048443
367,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10000}",-3184209356.3036985
368,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10}",-14876279892.15147
369,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 100}",-40837379267.00275
370,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 1000}",-13403441209.047249
371,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10000}",-11523704130.209269
372,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-5187488391.48571
373,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-4235350040.4387903
374,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-2953323186.9264336
375,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3446653797.4523478
376,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-46064423401.77423
377,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-5496727709.085115
378,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-20829138876.78646
379,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-20530546374.534893
380,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-56214954388.43113
381,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-38432237921.35865
382,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-14362345159.35618
383,"{'batch_size': 500, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-13353763044.342247
